service,name,url,address,categories
uber_eats,mr-crepes-corner-spices,https://www.ubereats.com/gb/store/mr-crepes-corner-spices/OFJCZXjrRhKlBxMYWQFWQQ,"Units 5 Nags Head Market, London, England N7 6AG",Halal • Chicken • Indian • Mr Lunch platter with lamb • 3. Chicken Pakora - 4 Pieces • 1. Green Salad • 2. Kachumber Salad • 1. Tandoori Chicken - 2 Pieces • 2. Whole Tandoori Griil Chicken (4Pcs) • 3. Lamb Seekh Kebab - 4 Pieces • 1. Mr Butter Chicken • 2. Mr Chicken Tikka Masala • 3. Mr Chicken Korma • 4. Mr Chicken Bhuna • 5. Chicken Jalfrezi • 1. Mr special Chicken Biryani • 2.Mr  Chicken Tikka Biryani • 6. Pilau Rice Regular • 7. Plain Basmati Rice Regular • 8. Mushroom Rice • Mr Pilau Rice Large • 9. Special Fried Rice • 10. Egg Rice • Mr plain Basmati Rice Large
uber_eats,al-hyderbadi-indian-cuisine-slough,https://www.ubereats.com/gb/store/al-hyderbadi-indian-cuisine-slough/5J3Zwn0YT1-UVKxQHb-mig,closed,Chicken 65 • Chilli Chicken - Medium • Fish Pakora • Masala Fish • 4 Chicken Lollypops • Chicken Fry with Bone - Medium • Andhra Chicken Curry Boneless • Chicken Curry with Bones • Butter Chicken Boneless • Chicken Korma Boneless • Gongura Chicken • Railway Lamb Curry • Gongura Lamb Curry • Chicken Fired Rice • Egg Fired Rice • Veg Fired Rice • Chicken Noodles • Prawn Fried Rice • Masala Tea Regular 150ml • Coffee Regular 150ml • Chicken Dum Biryani • Chicken Dum Biryani Family Pack • Biryani Rice • Plain Rice • Jeera Rice • Mini Chicken Dum Biryani • 4 Sheek Kebab • 2 Tangdi Kebab • 1/2 Tandoori Chicken • Chicken Tikka
uber_eats,lucia-beverley,https://www.ubereats.com/gb/store/lucia-beverley/ILUZyLS_SGqnFj4UqShGyQ,closed,
uber_eats,airth-premier,https://www.ubereats.com/gb/store/airth-premier/YeKxOIz7R5eRFRi7Vzrx9w,closed,
uber_eats,shahi-baithak,https://www.ubereats.com/gb/store/shahi-baithak/F0d0gihoQHWkdL7j36A11g,closed,
uber_eats,abs-fast-food,https://www.ubereats.com/gb/store/abs-fast-food/aQR3i4AKR6uSq6Ym8zPeSw,"Wellington Street , Bradford, England Bd162nb",Chicken • Burgers • Margherita Pizza • Garlic Margherita Pizza • Al Funghi Pizza • Pollo Pizza • Pepperoni Pizza • Salami Pizza • Meat Feast Pizza • ABS Special Pizza • Donner Pizza • Hot Shot Pizza • Chilli Pizza • BBQ Chicken Pizza • Tandoori Special Pizza • Tuna Delight Pizza • Seafood Pizza • Bolognese Pizza • Hawaiian Pizza • Vegetable Special Pizza • Veggie Supreme Pizza • Garlic Bread with Pizza Sauce • Cheeseburger • Chicken Fillet Burger • Plain Burger • Chicken Burger • Hawaiian Burger • Donner Burger • 1000 Island Burger • Americano Burger • Chilli Burger • Veggie Burger • BBQ Burger • Combo Burger - Triple Pounder • Mixed Kebab on Naan • Donner Kebab on Pitta Bread • Chicken Tikka & Chips • Chicken Tikka on Naan • Chicken Tikka on Naan & Cheese • Chicken Tikka in Pitta Bread • Mixed Kebab in Pitta Bread • Chicken Tikka Wrap • BBQ Chicken Wrap • Cheese Chicken Tikka Wrap • Southern Fried Chicken & Chips • Chicken Popcorn with Chips • Chicken Strips (6 pieces) with Chips • Chicken Nuggets (8 pieces) with Chips • Chicken Pakora with Chips • Chicken Tikka Starter • Chicken Pakora Starter • Kebab Starter (2 pieces) • Mixed Kebab Starter (2 pieces) • Side Salad • BBQ Dip
uber_eats,chak89,https://www.ubereats.com/gb/store/chak89/XmET9hEtRo6DuwVVp7xJZg,closed,
uber_eats,seoul-fried-chicken-m8,https://www.ubereats.com/gb/store/seoul-fried-chicken-m8/zbwtt0IqUoS3tvor4hvQMg,closed,Original Fried Chicken Sandwich • Spicy Fried Chicken Sandwich • Hot Mayo Fried Chicken Sandwich • BBQ Fried Chicken Burger • Seoul Fried Chicken Tenders (3) • Seoul Fried Chicken Tenders (5) • Seoul Fried Chicken Tenders (12) • Original Fried Chicken Sandwich Combo • Hot Mayo Fried Chicken Combo • Spicy Fried Chicken Sandwich Combo • French Fries
uber_eats,burgur-grill,https://www.ubereats.com/gb/store/burgur-grill/PfN33j4JTcKIzeIn2O5nZw,closed,
uber_eats,spice-of-lyefe,https://www.ubereats.com/gb/store/spice-of-lyefe/dqHHJm2AQRGZrJZYrHfulQ,closed,"Indian • Indian curry • Chicken • Halal • Chicken Pakora • Tandoori Fish • Chicken Tikka • Sheekh Kebab • Mini Mix Grill (Mix Kebab) • Nargis Kebab • Garlic Chicken • Fish Pakora • Shami Kebab • Tandoori Chicken • Chicken Shashlik • Mix Grill • Chicken Tikka Main Course • Chicken Tikka Shashlik Main Course • Large Mix Grill • Tandoori Chicken Main Course • Garlic Chicken Tikka Mushrooms • Spice Special Mix Grill • BBQ Mix Grill • Curry • Chicken Tikka Tawa Bhuna • Chicken Tikka Handi • Chilli Chicken • Chicken Mango Korma • Chicken Rezala • Chicken Tikka Pasanda • Chicken Handi • Shahi Chicken Korma • Chicken Biryani • Chicken Tikka Biryani • Chicken Tikka Curry Naan • Spice Special Curry Naan • Chicken Curry Naan • Lamb Tikka Curry Naan • Special Curry Naan • Meat Curry Naan • Vegetable Curry Naan • King Prawn Curry Naan • Chicken Nuggets • Chicken Omelette • Fried Chicken • Chicken Tikka Naan • Onion Salad • Curry Sauce • Pilau Rice • Fried Rice • Boiled Rice • Mushroom Rice • Garlic Fried Rice • Chicken Fried Rice • Keema Rice • Lemon Rice • Special Rice • Vegetable Rice • Peas Rice • Coconut Rice • MAXIMUM TASTE, NO SUGAR. A bold and refreshing fizzy drink"
