service,listing_index,listing_id,listing_name,listing_address,listing_city_slug,listing_area_slug,listing_business_slug,platform_name,platform_address,platform_city,url,score,name_score,slug_score,address_score,exact_slug_match,second_best_score,gap_to_second,auto_updated,reason
firsttable,2536,a78d46c3-8b73-4cf6-ad05-14fbb379f002,Premier,"Ridgeway Lane, Bristol, BS14 9PH",bristol,hengrove,premier,Bedminster,Bedminster,bristol,https://www.firsttable.co.uk/bristol/bedminster/breakfast,64.79,58.82,58.82,30.0,False,,999.0,False,needs review
firsttable,12,00d00903-852e-4afa-ad58-343429e1664c,Boots,"66 Queen's Road, Bristol, BS8 1QU",bristol,clifton,boots,Tonkotsu,City Centre,bristol,https://www.firsttable.co.uk/bristol/city-centre/tonkotsu,64.78,61.54,61.54,19.05,False,60.89,3.89,False,needs review
firsttable,738,329b195b-6b2f-40eb-a700-b4529a20fdb1,Boots,"39 High Street, Bristol, BS11 0DX",bristol,shirehampton,boots,Tonkotsu,City Centre,bristol,https://www.firsttable.co.uk/bristol/city-centre/tonkotsu,64.78,61.54,61.54,19.05,False,60.1,4.68,False,needs review
firsttable,1848,79f77cfe-1b0e-4a57-b365-7fe6626f2da0,Cafe Mocha,"57-58 Union Street, Bristol, BS1 2DU",bristol,city-centre,cafe-mocha,Cafe Napolita,St Werburghs,bristol,https://www.firsttable.co.uk/bristol/st-werburghs/cafe-napolita,64.78,60.87,52.17,21.74,False,,999.0,False,needs review
firsttable,3368,e0bf602f-f81c-4973-b64b-2207a2602dfc,Domino's,"178 Church Road, Bristol, BS5 9HX",bristol,redfield,dominos,Muiño,Cotham Hill,bristol,https://www.firsttable.co.uk/bristol/cotham-hill/muino,64.78,61.54,50.0,19.05,False,63.95,0.83,False,needs review
firsttable,86,05368d65-2d19-4b46-89b2-0a1c1f245f52,Riverside Garden Centre,"Clift House Road, Bristol, BS3 1RX",bristol,ashton,riverside-garden-centre,Back Garden Pizzeria,City Centre,bristol,https://www.firsttable.co.uk/bristol/city-centre/back-garden-pizzeria,64.77,60.47,37.21,23.26,False,,999.0,False,needs review
firsttable,249,0fdbff0d-afc1-4850-a442-82d749efdae8,Royalty,"1 High St, Winterbourne, Bristol BS36 1JN, UK",bristol,whitchurch,royalty,Rock Salt,Cotham Hill,bristol,https://www.firsttable.co.uk/bristol/cotham-hill/rock-salt,64.76,62.5,62.5,15.09,False,,999.0,False,needs review
firsttable,363,17b39440-a018-49ea-8f7b-c8fd6eec3712,Underfall Cafe,"Cumberland Road, Bristol, BS1 6XG",bristol,hotwells,underfall-cafe,Cafe Napolita,St Werburghs,bristol,https://www.firsttable.co.uk/bristol/st-werburghs/cafe-napolita,64.74,59.26,29.63,27.91,False,,999.0,False,needs review
firsttable,2355,9ad5f99e-a9f8-4607-ba9f-e52c5ac24f7b,Gong Cha,"Broadmead, Bristol, BS1 3EP",bristol,broadmead,gong-cha,Pocha,Clifton,bristol,https://www.firsttable.co.uk/bristol/clifton/pocha,64.74,46.15,61.54,18.75,False,61.76,2.98,False,needs review
firsttable,604,2925b6e2-ea1c-4f3b-93b7-d18456f1b37a,Lapin,"Cargo2 Museum Street, Bristol, BS1 6ZA",bristol,wapping-wharf,lapin,La Panza,Central,bristol,https://www.firsttable.co.uk/bristol/central/la-panza,64.71,61.54,61.54,18.6,False,,999.0,False,needs review
firsttable,740,32ae510f-818a-4bb4-bda0-fd84fcc1cc06,Home Gate,"56 Stapleton Road, Bristol, BS5 0RB",bristol,easton,home-gate,The Old House at Home,Chippenham,bristol,https://www.firsttable.co.uk/bristol/chippenham/the-old-house-at-home,64.71,61.54,40.0,18.6,False,62.73,1.98,False,needs review
