service,listing_index,listing_id,listing_name,listing_address,listing_city_slug,listing_area_slug,listing_business_slug,delivery_name,delivery_address,delivery_city,delivery_area,url,score,name_score,slug_score,address_score,postcode_match,exact_slug_match,second_best_score,gap_to_second,auto_updated,reason,area_match
uber_eats,3596,f00548ce-6b14-4194-b890-16b212fdc356,Tesco Express,"33 Oxford Street, Bristol, BS3 4RJ",bristol,totterdown,tesco-express,pizza-hut-express,"43 East Street, Bristol, England BS3 4HB",,,https://www.ubereats.com/gb/store/pizza-hut-express/g3UYMJBjXte0jEzczIkldA,70.9,70.0,60.0,72.0,False,False,65.89,5.01,False,needs review,
uber_eats,573,27283799-b9d5-460d-9845-9f1288cedc36,Roots Floral Designs,"1 Broad Quay, Bristol, BS1 4DA",bristol,city-centre,roots-floral-designs,taka-taka-broad-quay,"5 Broad Quay, Bristol, BS1 4DA",,,https://www.ubereats.com/gb/store/taka-taka-broad-quay/2agUiVv3SFGu2NgFbjLmcA,70.89,28.57,25.0,96.43,True,False,,999.0,False,needs review,
uber_eats,1966,81c6b83d-f577-4afd-be74-12158c768966,Thai Garden,"100 West Street, Bristol, BS3 3LR",bristol,bedminster,thai-garden,thai-thai,"12 Well Hall Road, London, EMEA SE9 6SF",,,https://www.ubereats.com/gb/store/thai-thai/spLAxzDfTR-PGIHMDV43EA,70.88,100.0,60.0,35.29,False,False,68.64,2.24,False,needs review,
uber_eats,2624,ae5aed7e-4ee1-4ad6-a0a8-da919a3182ef,Prezzo,"Anchor Square, Bristol, BS1 5DB",bristol,city-centre,prezzo,prezzo-italian-pasta-%26-pizza-rugby,"2 Regents Street, Rugby, Emea Gb, Cv21 2qf",,,https://www.ubereats.com/gb/store/prezzo-italian-pasta-%26-pizza-rugby/AM41-me1XhyjZVQYPXMfhg,70.88,100.0,28.57,35.29,False,False,70.88,0.0,False,needs review,
uber_eats,178,0ac439c7-f2a3-400d-9c3a-cb6a6944263d,The Queens Head,"22 Queens Road, Bristol, BS13 8LG",bristol,bishopsworth,the-queens-head,jos-tea-queen-road,"53 Queens Road, Bristol, EMEA BS8 1QQ",,,https://www.ubereats.com/gb/store/jos-tea-queen-road/K5tkSj1JWYSm6gXOouTzMg,70.87,54.55,66.67,76.0,False,False,66.58,4.29,False,needs review,
uber_eats,1119,4b7046a6-646c-4111-8e65-67bfd47ad62d,Flat Iron Bristol,"30 Clare Street, Bristol, BS1 1YH",bristol,city-centre,flat-iron-bristol,chatime-bristol,"56 Union Street, Bristol, EMEA BS1 2DL",,,https://www.ubereats.com/gb/store/chatime-bristol/4LwXoCh8WOu8cT3XLJUdfw,70.87,68.75,68.75,73.47,False,False,70.87,0.0,False,needs review,
uber_eats,2616,adc02491-8f81-4191-b9cd-aeb56fac4d62,Noor Restaurant & Takeaway,"6-8 High Street, Bristol, BS5 6DL",bristol,easton,noor-restaurant-takeaway,goongnoi-thai-restaurant,"54 High Street, Bristol, EMEA BS9 3DZ",,,https://www.ubereats.com/gb/store/goongnoi-thai-restaurant/NziAgCXDU7Okq92qL1-XOw,70.87,66.67,54.17,76.0,False,False,69.89,0.98,False,needs review,
uber_eats,287,1280a9a0-3a56-4f64-8c3c-fec7875785c2,Jamie & Reeves,"413 Gloucester Road, Bristol, BS7 8TS",bristol,ashley-down,jamie-reeves,the-kandyan-restaurant,"405 Gloucester Road, Bristol, England BS7 8TS",,,https://www.ubereats.com/gb/store/the-kandyan-restaurant/j__nTyznQCyPWV2237L_Iw,70.86,29.41,29.41,93.94,True,False,,999.0,False,needs review,
uber_eats,496,220d7df0-9059-4dd2-aa02-30e51c5040d3,Best-one,"286 Lodge Causeway, Bristol, BS16 3RD",bristol,fishponds,best-one,waffle-%26-bubble-kingswood,"298 Lodge Causeway, Bristol, England BS16 3RD",,,https://www.ubereats.com/gb/store/waffle-%26-bubble-kingswood/MdtlArDIT2W6W-1BJj2WHg,70.86,29.41,22.86,93.94,True,False,,999.0,False,needs review,
uber_eats,2094,8a14bb9c-6411-4b4c-9fa9-2886592eada5,Waeshous,"307 Gloucester Road, Bristol, BS7 8PE",bristol,ashley-down,waeshous,co-op-bristol-ashley-downs,"327-329 Gloucester Road, Bristol, EMEA BS7 8PE",,,https://www.ubereats.com/gb/store/co-op-bristol-ashley-downs/ynhSKvRyUyiqPZ9ysaVHGw,70.86,29.41,29.41,93.94,True,False,68.18,2.68,False,needs review,
uber_eats,3698,f72562d8-da57-4bc5-953a-6ff5a5b8740d,Curry Lounge,"403 Gloucester Road, Bristol, BS7 8TS",bristol,ashley-down,curry-lounge,the-kandyan-restaurant,"405 Gloucester Road, Bristol, England BS7 8TS",,,https://www.ubereats.com/gb/store/the-kandyan-restaurant/j__nTyznQCyPWV2237L_Iw,70.86,29.41,23.53,93.94,True,False,,999.0,False,needs review,
uber_eats,2981,c6382a63-c902-4ac9-825c-c68e201257af,M&M Kebabs & Burgers,"3 St Augustine's Parade, Bristol, BS1 4XG",bristol,city-centre,m-m-kebabs-burgers,bc-diner,"4 St Augustines Parade, Bristol, EMEA BS1 4XG",,,https://www.ubereats.com/gb/store/bc-diner/d6OuLS3EWyuepmejeT4qEg,70.84,25.0,30.77,90.24,True,False,,999.0,False,needs review,
uber_eats,3348,dfa8fe26-c3df-413a-aa0b-d947613112ff,Easton Dental Surgery,"249 Stapleton Road, Bristol, BS5 0PG",bristol,easton,easton-dental-surgery,pappu-dosa-easton,"238 Stapleton Road, Bristol, EMEA BS5 0NT",,,https://www.ubereats.com/gb/store/pappu-dosa-easton/op0jRGL2X1GFS_86UDGTjg,70.84,57.89,31.58,86.67,False,False,60.55,10.29,False,needs review,
